"","HW1","HW2","HW3","HW4","HW5","HW6","HW7","HW8","HW9","ATT","QZ1","QZ2","QZ3","QZ4","EX1","EX2","Test1","Test2","Homework","Quiz","Lab","Overall","Grade"
"296",92.5,92.5,97.5,80,97,100,89,90,60,11,87.5,66.6666666666667,30,70,51.2,44.1,64,49,92.3125,74.7222222222222,100,73.9520833333333,"C"
"297",52.5,47.5,97.5,75,65,81,79,90,65,10,75,44.4444444444444,40,75,39.2,60.3,49,67,75.625,64.8148148148148,80,66.9597222222222,"C-"
"298",77.5,92.5,77.5,90,93,90,90,55,65,11,66.6666666666667,44.4444444444444,30,50,64,49.05,80,54.5,84.4375,53.7037037037037,100,73.0118055555556,"C"
"299",72.5,65,90,70,75,84,65,80,85,11,83.3333333333333,61.1111111111111,80,95,64,71.1,80,79,77.6875,86.1111111111111,100,81.9729166666667,"B-"
"300",78.5,0,72.5,90,95,87,97,100,100,11,50,77.7777777777778,85,65,56,60.75,70,67.5,90,75.9259259259259,100,79.2638888888889,"C+"
"301",80,100,95,70,87.5,90,96,100,85,12,91.6666666666667,61.1111111111111,55,95,61.6,80.55,77,89.5,91.6875,82.5925925925926,100,87.6701388888889,"B+"
"302",62.5,0,77.5,90,100,98,100,90,100,12,100,94.4444444444444,35,90,76,74.25,95,82.5,89.75,94.8148148148148,100,90.7722222222222,"A"
"303",94,100,100,90,100,99,100,95,95,12,91.6666666666667,77.7777777777778,80,90,56.8,65.25,71,72.5,97.875,87.2222222222222,100,84.7708333333333,"B"
"304",66,85,90,90,100,0,65,95,100,12,83.3333333333333,22.2222222222222,75,65,42.4,36.9,53,41,86.375,74.4444444444444,100,67.9291666666667,"C-"
"305",77.5,85,85,60,100,100,86,100,80,12,75,83.3333333333333,75,65,44,60.3,55,67,89.1875,77.7777777777778,100,76.1729166666667,"C"
"306",87.5,77.5,100,95,95,100,0,75,75,12,95.8333333333333,88.8888888888889,75,100,67.2,72.9,84,81,88.125,94.9074074074074,100,87.7236111111111,"B+"
"307",99.5,100,100,90,72.5,100,97,100,98,12,91.6666666666667,100,75,90,56,70.2,70,78,98.0625,93.8888888888889,100,87.0020833333333,"B+"
"308",82.5,100,95,80,95,96,100,80,85,12,100,77.7777777777778,85,90,72,76.5,90,85,91.6875,91.6666666666667,100,90.50625,"A"
"309",85,95,85,100,100,98,88,90,85,12,100,50,65,95,64.8,67.5,81,75,92.625,86.6666666666667,100,85.7375,"B"
"310",52.5,92.5,97.5,0,91.25,0,0,0,0,10,58.3333333333333,0,0,0,43.2,20.7,54,23,41.71875,19.4444444444444,80,39.9822916666667,"F"
"311",87.5,77.5,100,60,100,89,83,80,80,12,83.3333333333333,77.7777777777778,65,80,59.2,71.55,74,79.5,87.125,80.3703703703704,100,82.8680555555556,"B"
"312",92.5,100,95,100,100,99,100,85,98,12,100,88.8888888888889,75,95,80,84.15,100,93.5,98.0625,94.6296296296296,100,96.9881944444444,"A+"
"313",47.5,72.5,92.5,95,100,88.5,80,82.5,100,12,75,61.1111111111111,45,100,47.2,62.1,59,69,88.875,78.7037037037037,100,77.5180555555555,"C+"
"314",98,94,77.5,90,95,97,100,90,99,12,91.6666666666667,72.2222222222222,55,75,60.8,48.6,76,54,95.375,79.6296296296296,100,79.2569444444444,"C+"
"315",80.5,85,100,90,95,96,86,60,100,12,66.6666666666667,77.7777777777778,75,95,76.8,66.15,96,73.5,91.5625,82.5925925925926,100,87.4326388888889,"B+"
"316",60,0,90,0,0,91,0,47.5,66,11,75,72.2222222222222,30,100,62.4,53.55,78,59.5,44.3125,82.4074074074074,100,66.1298611111111,"C-"
"317",0,50,42.5,80,100,83,71,75,50,12,66.6666666666667,61.1111111111111,55,35,14.4,39.6,18,44,68.9375,60.9259259259259,100,54.4201388888889,"D"
"318",92.5,85,100,70,90,96,100,100,100,11,75,66.6666666666667,45,95,67.2,64.8,84,72,95.4375,78.8888888888889,100,85.2645833333333,"B"
"319",92.5,100,100,100,100,0,90,100,100,11,91.6666666666667,61.1111111111111,65,80,78.4,75.6,98,84,97.8125,78.8888888888889,100,91.7770833333333,"A"
"320",87.5,100,97.5,100,90,80,100,80,94,12,75,72.2222222222222,60,75,54.4,53.1,68,59,93.625,74.0740740740741,100,77.5486111111111,"C+"
"321",65,100,90,90,100,99,86,72.5,75,12,100,88.8888888888889,80,95,71.2,72.9,89,81,89.0625,94.6296296296296,100,88.9631944444444,"A-"
"322",92.5,100,100,100,95,100,86,100,80,12,95.8333333333333,72.2222222222222,60,100,62.4,74.25,78,82.5,96.6875,89.3518518518518,100,88.6340277777778,"A-"
"323",82.5,100,95,100,0,100,92,100,100,12,58.3333333333333,100,65,80,68.8,63.9,86,71,96.1875,81.6666666666667,100,86.05625,"B+"
"324",0,75,67.5,90,80,71,0,50,0,8,83.3333333333333,61.1111111111111,25,35,64,44.55,80,49.5,54.1875,59.8148148148148,40,57.6034722222222,"D"
"325",82.5,87.5,85,35,60,95,87,100,85,11,58.3333333333333,94.4444444444444,95,100,71.2,81,89,90,85.25,96.4814814814815,100,90.3472222222222,"A"
"326",82.5,100,85,90,95,85,90,100,82.5,12,100,55.5555555555556,65,75,46.4,71.1,58,79,90.9375,80,100,80.63125,"B-"
"327",72.5,100,100,100,100,80,76,85,98,12,91.6666666666667,72.2222222222222,70,100,74.4,80.1,93,89,92.375,87.962962962963,100,91.7569444444445,"A"
"328",72.5,70,100,90,100,95,97,100,85,12,100,88.8888888888889,75,80,72,75.15,90,83.5,92.4375,89.6296296296296,100,90.0506944444444,"A"
"329",0,0,0,10,0,0,53.5,70,32,9,33.3333333333333,0,55,45,32.8,56.7,41,63,20.6875,44.4444444444444,60,42.8229166666667,"F"
"330",88.5,99,0,0,85,0,0,85,85,12,75,50,80,70,57.6,50.85,72,56.5,55.3125,75,100,66.36875,"C-"
"331",95,95,100,100,95,99,100,100,100,12,91.6666666666667,88.8888888888889,65,100,65.6,81,82,90,98.625,93.5185185185185,100,92.5152777777778,"A"
"332",72.5,92.5,100,90,95,89,83,95,100,12,91.6666666666667,22.2222222222222,60,75,60.8,57.15,76,63.5,93.0625,75.5555555555556,100,80.3270833333333,"B-"
"333",100,85,100,100,100,99,97,85,95,12,100,100,100,100,80,89.1,100,99,97,100,100,98.85,"A+"
"334",92.5,75,100,100,96.25,96,100,90,100,12,75,88.8888888888889,70,90,61.6,74.7,77,83,96.84375,84.6296296296296,100,87.8975694444444,"B+"
